"",BBEX3.D.TRY.EUR.BB.AC.000,BBEX3.D.TRY.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = TRY ... / Turkey / from January 2005,
Comment (in english),"The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15. Currency conversion with effect from 1 January 2005: TRL 1,000,000 = TRY 1. Up to the end of 2004, see BBEX3:D:TRL:EUR:BB:AC:000.",
Decimals,4,
Source (in english),European Central Bank (ECB).,
Time format code,P1D,
category,WEDE,
unit,TRY,
unit multiplier,One,
last update,2025-01-31 16:00:08,
2013-04-05,2.3294,
2013-04-06,.,No value available
2013-04-07,.,No value available
2013-04-08,2.3292,
2013-04-09,2.3248,
2013-04-10,2.3370,
2013-04-11,2.3464,
2013-04-12,2.3353,
2013-04-13,.,No value available
2013-04-14,.,No value available
2013-04-15,2.3414,
2013-04-16,2.3524,
2013-04-17,2.3549,
2013-04-18,2.3422,
2013-04-19,2.3568,
2013-04-20,.,No value available
2013-04-21,.,No value available
2013-04-22,2.3515,
2013-04-23,2.3478,
2013-04-24,2.3476,
2013-04-25,2.3540,
2013-04-26,2.3420,
2013-04-27,.,No value available
2013-04-28,.,No value available
2013-04-29,2.3521,
2013-04-30,2.3520,
2013-05-01,.,No value available
2013-05-02,2.3633,
2013-05-03,2.3543,
2013-05-04,.,No value available
2013-05-05,.,No value available
2013-05-06,2.3543,
2013-05-07,2.3594,
2013-05-08,2.3570,
2013-05-09,2.3583,
2013-05-10,2.3403,
2013-05-11,.,No value available
2013-05-12,.,No value available
2013-05-13,2.3450,
2013-05-14,2.3506,
2013-05-15,2.3464,
2013-05-16,2.3591,
2013-05-17,2.3646,
2013-05-18,.,No value available
2013-05-19,.,No value available
2013-05-20,2.3736,
2013-05-21,2.3788,
2013-05-22,2.3791,
2013-05-23,2.3872,
2013-05-24,2.3913,
2013-05-25,.,No value available
2013-05-26,.,No value available
2013-05-27,2.3871,
2013-05-28,2.3912,
2013-05-29,2.4129,
2013-05-30,2.4274,
2013-05-31,2.4456,
2013-06-01,.,No value available
2013-06-02,.,No value available
2013-06-03,2.4605,
2013-06-04,2.4518,
2013-06-05,2.4592,
2013-06-06,2.4773,
2013-06-07,2.4980,
2013-06-08,.,No value available
2013-06-09,.,No value available
2013-06-10,2.5053,
2013-06-11,2.5172,
2013-06-12,2.4906,
2013-06-13,2.4897,
2013-06-14,2.4674,
2013-06-15,.,No value available
2013-06-16,.,No value available
2013-06-17,2.4906,
2013-06-18,2.5167,
2013-06-19,2.5238,
2013-06-20,2.5324,
2013-06-21,2.5515,
2013-06-22,.,No value available
2013-06-23,.,No value available
2013-06-24,2.5445,
2013-06-25,2.5315,
2013-06-26,2.5208,
2013-06-27,2.5070,
2013-06-28,2.5210,
2013-06-29,.,No value available
2013-06-30,.,No value available
2013-07-01,2.5099,
2013-07-02,2.5062,
2013-07-03,2.5264,
2013-07-04,2.5343,
2013-07-05,2.5110,
2013-07-06,.,No value available
2013-07-07,.,No value available
2013-07-08,2.5025,
2013-07-09,2.4955,
2013-07-10,2.4938,
2013-07-11,2.5359,
2013-07-12,2.5599,
2013-07-13,.,No value available
2013-07-14,.,No value available
2013-07-15,2.5303,
2013-07-16,2.5231,
2013-07-17,2.5299,
2013-07-18,2.5122,
2013-07-19,2.5227,
2013-07-20,.,No value available
2013-07-21,.,No value available
2013-07-22,2.5244,
2013-07-23,2.5195,
2013-07-24,2.5278,
2013-07-25,2.5424,
2013-07-26,2.5493,
2013-07-27,.,No value available
2013-07-28,.,No value available
2013-07-29,2.5535,
2013-07-30,2.5570,
2013-07-31,2.5623,
2013-08-01,2.5635,
2013-08-02,2.5711,
2013-08-03,.,No value available
2013-08-04,.,No value available
2013-08-05,2.5630,
2013-08-06,2.5620,
2013-08-07,2.5713,
2013-08-08,2.5708,
2013-08-09,2.5657,
2013-08-10,.,No value available
2013-08-11,.,No value available
2013-08-12,2.5566,
2013-08-13,2.5624,
2013-08-14,2.5664,
2013-08-15,2.5700,
2013-08-16,2.5844,
2013-08-17,.,No value available
2013-08-18,.,No value available
2013-08-19,2.6055,
2013-08-20,2.6091,
2013-08-21,2.6185,
2013-08-22,2.6463,
2013-08-23,2.6640,
2013-08-24,.,No value available
2013-08-25,.,No value available
2013-08-26,2.6698,
2013-08-27,2.7082,
2013-08-28,2.7650,
2013-08-29,2.6943,
2013-08-30,2.6868,
2013-08-31,.,No value available
2013-09-01,.,No value available
2013-09-02,2.6641,
2013-09-03,2.6985,
2013-09-04,2.7040,
2013-09-05,2.7421,
2013-09-06,2.7031,
2013-09-07,.,No value available
2013-09-08,.,No value available
2013-09-09,2.6955,
2013-09-10,2.6766,
2013-09-11,2.6690,
2013-09-12,2.6875,
2013-09-13,2.6955,
2013-09-14,.,No value available
2013-09-15,.,No value available
2013-09-16,2.6592,
2013-09-17,2.6839,
2013-09-18,2.6704,
2013-09-19,2.6491,
2013-09-20,2.6800,
2013-09-21,.,No value available
2013-09-22,.,No value available
2013-09-23,2.6880,
2013-09-24,2.6961,
2013-09-25,2.7087,
2013-09-26,2.7210,
2013-09-27,2.7566,
2013-09-28,.,No value available
2013-09-29,.,No value available
2013-09-30,2.7510,
2013-10-01,2.7270,
2013-10-02,2.7275,
2013-10-03,2.7241,
